ID,Age,Occupation,Gender,Education Level,Country,How often do you use AI tools?,AI_Use_List,Do you feel more productive when using AI tools?,Do you believe overuse of AI can negatively affect mental health or problem-solving skills?,Do you know someone that use AI as  conversational partner?, Creative writing or art, Entertainment, Others, Social media content, Work/professional tasks,Don't use,Entertainment,Inspiration for work,Others,Studying or learning,Work/professional tasks
39,18-24,Student,Male,High School,Argentina,Several times a week,"['Studying or learning', ' Entertainment']",No,Si,No,0,1,0,0,0,0,0,0,0,1,0
40,25-34,Student,Female,Bachelor’s Degree,Argentina,Rarely,"['Studying or learning', ' Others']",Si,No,Si,0,0,1,0,0,0,0,0,0,1,0
41,25-34,IT support,Female,Bachelor’s Degree,Argentina,Daily,"['Studying or learning', ' Work/professional tasks']",Si,Si,No,0,0,0,0,1,0,0,0,0,1,0
42,25-34,Psychology,Female,Master’s Degree,Andorra,Daily,"['Studying or learning', ' Work/professional tasks', ' Entertainment']",Si,Si,Si,0,1,0,0,1,0,0,0,0,1,0
43,25-34,Illustrator,Male,Bachelor’s Degree,Andorra,Rarely,"[""Don't use""]",No,Si,No,0,0,0,0,0,1,0,0,0,0,0
44,25-34,Big Accounts Management (Commercial Dept),Male,Bachelor’s Degree,Spain,Rarely,"['Studying or learning', ' Work/professional tasks']",No,Si,No,0,0,0,0,1,0,0,0,0,1,0
45,18-24,Student in Graphic Design,Male,Bachelor’s Degree,Argentina,Rarely,"['Studying or learning', ' Creative writing or art']",No,No,No,1,0,0,0,0,0,0,0,0,1,0
46,35-44,Developer,Male,Bachelor’s Degree,Argentina,Daily,"['Studying or learning', ' Work/professional tasks', ' Entertainment']",Si,Si,No,0,1,0,0,1,0,0,0,0,1,0
47,45-54,Employee,Female,High School,Argentina,Never,"[""Don't use""]",No,No,Si,0,0,0,0,0,1,0,0,0,0,0
48,35-44,Software developer,Female,Bachelor’s Degree,Argentina,Daily,"['Studying or learning', ' Work/professional tasks', ' Entertainment', ' Others']",Si,No,No,0,1,1,0,1,0,0,0,0,1,0
49,45-54,Unemployed,Female,Master’s Degree,Spain,Rarely,['Others'],Si,Si,No,0,0,0,0,0,0,0,0,1,0,0
50,45-54,Management,Male,Bachelor’s Degree,Spain,Several times a week,"['Work/professional tasks', ' Others']",Si,No,No,0,0,1,0,0,0,0,0,0,0,1
51,35-44,IT technician,Male,Bachelor’s Degree,Argentina,Several times a week,"['Studying or learning', ' Work/professional tasks', ' Entertainment']",Si,Si,Si,0,1,0,0,1,0,0,0,0,1,0
52,55-64,administrative,Male,High School,Argentina,Several times a week,['Entertainment'],No,No,No,0,0,0,0,0,0,1,0,0,0,0
53,25-34,Comics author,Trans,Other,Spain,Never,"[""Don't use""]",No,Si,No,0,0,0,0,0,1,0,0,0,0,0
54,25-34,Systems technician,Male,Other,Andorra,Rarely,"['Work/professional tasks', ' Others']",No,Si,No,0,0,1,0,0,0,0,0,0,0,1
55,18-24,Student,Female,Bachelor’s Degree,Spain,Never,"[""Don't use""]",No,Si,No,0,0,0,0,0,1,0,0,0,0,0
56,18-24,Student,Male,Bachelor’s Degree,Colombia,Several times a week,"['Studying or learning', ' Creative writing or art', ' Entertainment']",No,Si,Si,1,1,0,0,0,0,0,0,0,1,0
57,25-34,Biologist,Female,Master’s Degree,Spain,Several times a week,['Work/professional tasks'],No,Si,Si,0,0,0,0,0,0,0,0,0,0,1
58,25-34,Unemployed,Male,Bachelor’s Degree,Andorra,Several times a week,"['Work/professional tasks', ' Entertainment']",Si,No,Si,0,1,0,0,0,0,0,0,0,0,1
59,25-34,Unemployed,Female,Other,Spain,Several times a week,"['Entertainment', ' Others']",Si,No,Si,0,0,1,0,0,0,1,0,0,0,0
